sys_id,n_ie,n_pages,n_lines,n_chars
990000859300205171,1,15,378,13944
990000859320205171,1,12,379,15270
990000859330205171,1,12,304,8976
990000859340205171,1,13,255,5540
990000859350205171,1,18,638,36659
990000859360205171,1,7,202,6193
990000859370205171,1,43,2113,107926
990000859380205171,1,54,2701,149009
990000859390205171,1,8,203,6851
990000859400205171,1,8,201,6494
990000859410205171,1,9,250,10899
990000859420205171,1,44,2504,156081
990000859430205171,1,7,113,4365
990000859440205171,1,7,172,7407
990000859450205171,1,32,2111,138758
990000859460205171,1,8,917,20048
990000859470205171,1,9,182,5885
990000859480205171,1,5,93,2813
990000859490205171,1,7,116,4292
990000859500205171,1,23,796,30759
990000859710205171,1,5,86,5075
990000859720205171,1,7,100,2111
990000859730205171,1,41,2019,109731
990000859740205171,1,2,102,7287
990000859750205171,1,9,222,9653
990000859850205171,2,102,5613,277322
990000859860205171,1,61,1965,81894
990000859890205171,1,60,2488,111203
990000859900205171,1,35,1543,76671
990000859910205171,1,24,855,33073
990000859920205171,1,118,6183,230048
990000859930205171,2,93,3685,140794
990000859940205171,1,21,527,15629
990000859950205171,1,253,9925,283427
990000859960205171,2,36,560,15487
990000859970205171,1,19,319,8984
990000859980205171,1,9,121,2861
990000859990205171,1,11,243,6536
990000860000205171,2,192,6184,191004
990000860010205171,1,142,5001,152106
990000860020205171,1,29,944,28070
990000860030205171,2,146,4780,136931
990000860040205171,1,8,105,1868
990000860050205171,1,8,91,1947
990000860060205171,1,9,127,3367
990000860070205171,1,25,705,27035
990000860120205171,1,43,1786,81872
990000860130205171,1,9,138,3587
990000860140205171,1,12,235,6925
990000860150205171,1,10,143,3894
990000860200205171,1,10,232,4962
990000860210205171,1,16,337,11289
990000860220205171,1,24,821,36935
990000861920205171,2,27,1381,49815
990000861950205171,1,14,653,30954
990000861980205171,1,117,4991,205744
990000862010205171,1,16,562,22111
990000862040205171,2,184,8886,385596
990000862050205171,2,20,346,10283
990000862060205171,1,122,4508,150850
990000862070205171,1,12,315,13108
990000862080205171,1,26,708,23516
990000862090205171,1,7,73,1447
990000862100205171,1,30,1133,49084
990000862110205171,1,24,643,20977
990000862120205171,1,13,274,9219
990000862130205171,1,8,101,2029
990000862140205171,1,7,79,1034
990000862150205171,1,54,1521,44582
990000862160205171,1,8,100,2807
990000862170205171,1,43,1960,77890
990000862180205171,1,18,554,22654
990000862190205171,1,7,91,2230
990000862200205171,1,8,107,2204
990000862210205171,1,41,1444,63216
990000862220205171,1,50,1781,74928
990000862230205171,1,8,65,1015
990000862240205171,2,30,1072,66859
990000862250205171,1,16,433,15357
990000862260205171,1,126,4084,127576
990000862270205171,1,52,1597,56975
990000862280205171,1,181,6604,223250
990000862290205171,1,7,89,4371
990000862300205171,1,10,183,5191
990000862310205171,1,6,110,1654
990000862320205171,1,7,94,2265
990000862330205171,1,84,2242,55209
990000862340205171,1,17,561,22804
990000862350205171,1,93,2649,78908
990000862360205171,2,50,2200,72089
990000862370205171,1,9,181,5340
990000862380205171,2,31,959,31497
990000862390205171,1,7,88,1176
990000864750205171,1,7,123,5684
990000864950205171,1,17,515,16343
990000864980205171,1,155,5968,224822
990000865020205171,1,23,768,24543
990000865030205171,1,179,6524,336889
990000865040205171,1,10,164,3903
990000865050205171,1,12,287,5238
990000865060205171,1,12,337,9769
990000865070205171,1,7,83,1271
990000865080205171,1,7,127,3080
990000865090205171,1,10,174,3405
990000865120205171,1,41,1310,41755
990000865170205171,1,44,1362,51114
990000865320205171,1,4,139,3881
990000865390205171,1,9,159,3559
990000865420205171,2,25,778,21379
990000865430205171,1,9,172,4427
990000865450205171,1,17,352,11663
990000865460205171,1,13,250,9209
990000865490205171,1,14,365,9715
990000865500205171,1,55,1955,80078
990000865510205171,2,12,265,6269
990000865520205171,1,16,535,16762
990000865530205171,1,57,2020,80683
990000865550205171,1,61,1929,64347
990000865560205171,1,14,406,13108
990000865570205171,1,13,271,6247
990000865580205171,1,12,284,9886
990000865600205171,1,4,92,2460
990000865620205171,1,23,730,28679
990000865680205171,1,9,170,4394
990000865690205171,1,13,548,23753
990000865700205171,2,33,633,17597
990000865790205171,1,24,644,20205
990000865810205171,1,253,12966,516268
990000865820205171,1,4,140,4583
990000865830205171,1,3,93,3126
990000865840205171,1,4,130,4190
990000865900205171,1,4,135,4611
990000865930205171,1,96,3062,94020
990000865940205171,1,25,668,25661
990000865950205171,1,5,65,1596
990000865980205171,1,3,86,2794
990000865990205171,1,5,153,5867
990000866000205171,1,6,84,3128
990000866010205171,1,14,328,10457
990000866020205171,1,3,107,4084
990000866050205171,1,9,78,877
990000866120205171,1,9,91,979
990000866130205171,1,9,79,1060
990000866140205171,1,9,188,4179
990000866150205171,1,28,693,20987
990000866180205171,1,8,123,3265
990000868160205171,1,72,2770,101642
990000868190205171,1,16,360,11161
990000868220205171,1,12,168,4838
990000868230205171,1,9,246,5944
990000868240205171,1,55,1866,56015
990000868250205171,1,7,27,571
990000868260205171,1,12,188,6006
990000868270205171,1,36,1491,75859
990000868290205171,1,8,74,1780
990000868300205171,1,10,211,7671
990000868310205171,2,57,1950,54725
990000868330205171,1,44,1724,71062
990000868340205171,1,4,126,4469
990000868350205171,1,7,82,1791
990000868360205171,1,7,64,528
990000868380205171,1,13,281,8667
990000868390205171,1,7,115,2924
990000868400205171,1,7,256,8633
990000868410205171,1,13,159,3289
990000868420205171,1,18,383,10111
990000868430205171,1,8,123,2026
990000868440205171,3,42,873,33744
990000868450205171,1,9,113,3303
990000868460205171,1,13,261,9042
990000868470205171,1,9,101,2915
990000868480205171,2,175,5805,222836
990000868510205171,1,137,4562,200763
990000868520205171,1,8,113,2892
990000868530205171,1,8,70,1520
990000868540205171,3,29,298,8513
990000868550205171,1,17,392,11304
990000868560205171,1,8,97,1387
990000868570205171,1,9,127,2135
990000868580205171,1,41,1350,47903
990000868590205171,1,8,150,3859
990000868600205171,1,84,2926,80271
990000868610205171,1,9,124,2640
990000868630205171,1,17,272,6093
990000868650205171,1,10,188,3753
990000868660205171,1,16,434,13921
990000868670205171,1,167,7628,222831
990000868680205171,1,31,1150,36136
990000868690205171,2,136,4864,222504
990000868700205171,1,13,317,10379
990000868710205171,1,70,2450,86356
990000868720205171,1,43,1605,51624
990000868730205171,1,107,4015,154524
990000868740205171,1,18,600,26075
990000868750205171,1,56,2107,86480
990000868760205171,1,152,6181,242912
990000868770205171,1,58,1778,62577
990000868780205171,2,285,9541,283136
990000868790205171,1,28,801,27344
990000868800205171,1,9,79,1410
990000868810205171,1,13,257,9031
990000868820205171,2,32,805,35715
990000868830205171,1,13,219,5613
990000868840205171,1,21,773,41449
990000868850205171,1,26,950,32085
990000868860205171,1,7,202,4828
990000868870205171,1,7,206,3279
990000868880205171,1,9,237,10147
990000868890205171,1,9,271,9843
